date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:04:14	121/121	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Wed,%2008%20Nov%202023%2009:20:16%20GMT	https://www.gmhkaia.com/robots.txt		(from )
03:04:15	200718/200718	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Nov%202023%2009:20:17%20GMT	https://www.gmhkaia.com/	www.gmhkaia.com/index.html	(from )
03:04:15	21400/21400	---M--	200	added ('OK')	font/woff	etag:%2251a1bef-5398-5fe66e1c41d15%22	https://www.gmhkaia.com/wp-content/themes/salient/css/fonts/icomoon.woff?v=1.4	www.gmhkaia.com/wp-content/themes/salient/css/fonts/icomoonffaf.woff	(from https://www.gmhkaia.com/)
03:04:16	291/291	---M-Z	200	added ('OK')	text/css	etag:%22ea28db-123-5f49afeb578c0-gzip%22	https://www.gmhkaia.com/wp-includes/css/classic-themes.min.css?ver=6.2.3	www.gmhkaia.com/wp-includes/css/classic-themes.min18cf.css	(from https://www.gmhkaia.com/)
03:04:17	726/726	---M-Z	200	added ('OK')	application/rss+xml	etag:%22e260d5ac488cdb7f8c26f93c6930d944-gzip%22	https://www.gmhkaia.com/comments/feed/	www.gmhkaia.com/comments/feed/index.html	(from https://www.gmhkaia.com/)
03:04:17	18885/18885	---M-Z	200	added ('OK')	application/rss+xml	etag:%22e260d5ac488cdb7f8c26f93c6930d944-gzip%22	https://www.gmhkaia.com/feed/	www.gmhkaia.com/feed/index.html	(from https://www.gmhkaia.com/)
03:04:17	2859/2859	---M-Z	200	added ('OK')	text/css	etag:%2251807dc-b2b-60888f69149a0-gzip%22	https://www.gmhkaia.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.2	www.gmhkaia.com/wp-content/plugins/contact-form-7/includes/css/styles080f.css	(from https://www.gmhkaia.com/)
03:04:18	21992/21992	---M-Z	200	added ('OK')	text/css	etag:%2251a18d8-55e8-5fe66e1b7efd1-gzip%22	https://www.gmhkaia.com/wp-content/themes/salient/css/build/grid-system.css?ver=15.0.8	www.gmhkaia.com/wp-content/themes/salient/css/build/grid-systemd850.css	(from https://www.gmhkaia.com/)
03:04:19	165135/165135	---M-Z	200	added ('OK')	text/css	etag:%2251a17e0-2850f-5fe66e1b7b921-gzip%22	https://www.gmhkaia.com/wp-content/themes/salient/css/build/style.css?ver=15.0.8	www.gmhkaia.com/wp-content/themes/salient/css/build/styled850.css	(from https://www.gmhkaia.com/)
03:04:20	1490/1490	---M-Z	200	added ('OK')	text/css	etag:%2251a187d-5d2-5fe66e1b7b921-gzip%22	https://www.gmhkaia.com/wp-content/themes/salient/css/build/header/header-layout-centered-logo-between-menu-alt.css?ver=15.0.8	www.gmhkaia.com/wp-content/themes/salient/css/build/header/header-layout-centered-logo-between-menu-altd850.css	(from https://www.gmhkaia.com/)
03:04:21	11383/11383	---M-Z	200	added ('OK')	text/css	etag:%2251a1892-2c77-5fe66e1b7c8c1-gzip%22	https://www.gmhkaia.com/wp-content/themes/salient/css/build/elements/element-fancy-box.css?ver=15.0.8	www.gmhkaia.com/wp-content/themes/salient/css/build/elements/element-fancy-boxd850.css	(from https://www.gmhkaia.com/)
